servername,ip,env,severity
crm-toolbox.prd.ai.mgh.reuter365.net,10.10.210.218,prd,
crm-toolbox.stg.ai.mgh.reuter365.net,10.10.210.217,stg,
authelia.prd.auth.mgh.reuter365.net,10.10.211.33,prd,
pe-configurations.stg.pe.mgh.reuter365.net,10.10.59.235,stg,
pe-configurations.prd.pe.mgh.reuter365.net,10.10.59.236,prd,
pe-competitor-prices.stg.reuter365.net,10.10.59.170,stg,
pe-competitor-prices.prd.reuter365.net,10.10.59.158,prd,
crm-kb.prd.ai.mgh.reuter365.net,10.10.210.226,prd,
crm-kb.stg.ai.mgh.reuter365.net,10.10.210.225,stg,
sslconverter.prd.ws.mgh.reuter365.net,10.10.211.37,prd,
pe-sales-history.prd.pe.mgh.reuter365.net,10.10.59.75,prd,
pe-sales-history.stg.pe.mgh.reuter365.net,10.10.59.74,stg,
pe-admin-panel.stg.pe.mgh.reuter365.net,10.10.59.76,stg,
pe-admin-panel.prd.pe.mgh.reuter365.net,10.10.59.77,prd,
pe-search-index.prd.pe.mgh.reuter365.net,10.10.59.234,prd,
pe-search-index.stg.pe.mgh.reuter365.net,10.10.59.233,stg,
sweb.prd.ws.mgh.reuter365.net,10.10.59.167,prd,
sweb.stg.ws.mgh.reuter365.net,10.10.59.166,stg,
chatbot.stg.ai.mgh.reuter365.net,10.10.211.45,stg,
jira.stg.collab.mgh.reuter365.net,10.10.59.213,stg,
jira.prd.collab.mgh.reuter365.net,10.10.59.214,prd,
sweb.dev.ws.mgh.reuter365.net,10.10.59.165,dev,
checkmk01.prd.mon.mgh.reuter365.net,10.10.213.12,prd,
checkmk02.prd.mon.mgh.reuter365.net,10.10.213.13,prd,
pricecalc.stg.misc.mgh.reuter365.net,10.10.213.17,stg,
checkmk01.dev.mon.mgh.reuter365.net,10.10.213.11,dev,
pricecalc.prd.misc.mgh.reuter365.net,10.10.213.18,prd,
t3-emero.prd.cms.mgh.reuter365.net,10.10.210.234,prd,
t3-reuter.prd.cms.mgh.reuter365.net,10.10.210.233,prd,
typo3.stg.cms.mgh.reuter365.net,10.10.211.9,stg,
t3-sonono.prd.cms.mgh.reuter365.net,10.10.210.235,prd,
online-shop.reuter365.net,10.10.59.182,,
online-shop-01.stg.ws.mgh.reuter365.net,10.10.59.135,stg,
pe-products.stg.reuter365.net,10.10.59.189,stg,
ws-misc-01.prd.ws.mgh.reuter365.net,10.10.59.111,prd,
10.10.59.59,10.10.59.59,,
pe-products.prd.reuter365.net,10.10.59.188,prd,
pe-search-analysis.prd.pe.mgh.reuter365.net,10.10.59.155,prd,
pe-search-analysis.stg.pe.mgh.reuter365.net,10.10.59.156,stg,
pe-product-stock.prd.pe.mgh.reuter365.net,10.10.59.223,prd,
pe-product-stock.stg.pe.mgh.reuter365.net,10.10.59.222,stg,
email-classification.prd.ai.mgh.reuter365.net,10.10.59.247,prd,
email-classification.stg.ai.mgh.reuter365.net,10.10.59.246,stg,
pe-product-reviews.stg.pe.mgh.reuter365.net,10.10.59.227,stg,
pe-product-reviews.prd.pe.mgh.reuter365.net,10.10.59.228,prd,
pe-shopping-carts.prd.reuter365.net,10.10.59.159,prd,
pe-shopping-carts.stg.reuter365.net,10.10.59.171,stg,
nextcloud-01.stg.collab.mgh.reuter365.net,10.10.210.78,stg,
prometheus-01.prd.mon.acs.reuter365.net,10.51.30.11,prd,
prometheus-01.prd.mon.mgh.reuter365.net,10.10.59.105,prd,
